id,quartile,identifiers,areas
Sociology and Political Science,Q2,"['1744-1684', '0032-3497']",['Social Sciences']
"Ecology, Evolution, Behavior and Systematics",Q3,['2073-0659'],['Agricultural and Biological Sciences']
Plant Science,Q3,['2073-0659'],['Agricultural and Biological Sciences']
Physiology,Q4,"['1415-8426', '1980-0037']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Physiology (medical),Q4,"['1415-8426', '1980-0037']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Forestry,Q2,['1211-7420'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']"
Earth-Surface Processes,Q3,['1211-7420'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']"
"Geography, Planning and Development",Q3,['1211-7420'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']"
Geology,Q3,['1211-7420'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']"
"Management, Monitoring, Policy and Law",Q3,['1211-7420'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']"
Nature and Landscape Conservation,Q3,['1211-7420'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']"
Cultural Studies,Q1,['1681-5564'],"['Arts and Humanities', 'Social Sciences']"
History,Q1,['1681-5564'],"['Arts and Humanities', 'Social Sciences']"
Anthropology,Q2,['1681-5564'],"['Arts and Humanities', 'Social Sciences']"
Archeology,Q2,['1681-5564'],"['Arts and Humanities', 'Social Sciences']"
Archeology (arts and humanities),Q2,['1681-5564'],"['Arts and Humanities', 'Social Sciences']"
"Ecology, Evolution, Behavior and Systematics",Q3,"['0312-9764', '2200-4025']",['Agricultural and Biological Sciences']
Plant Science,Q3,"['0312-9764', '2200-4025']",['Agricultural and Biological Sciences']
Philosophy,Q2,['0040-5825'],['Arts and Humanities']
Veterinary (miscellaneous),Q2,"['2007-5472', '0301-5092']",['Veterinary']
Philosophy,Q2,['0260-4027'],['Arts and Humanities']
Inorganic Chemistry,Q3,"['0044-2313', '1521-3749']",['Chemistry']
Animal Science and Zoology,Q3,"['1570-7563', '1570-7555']",['Agricultural and Biological Sciences']
"Ecology, Evolution, Behavior and Systematics",Q3,"['1570-7563', '1570-7555']",['Agricultural and Biological Sciences']
Applied Microbiology and Biotechnology,Q3,"['2423-4214', '2345-5357']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology']"
Biotechnology,Q3,"['2423-4214', '2345-5357']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology']"
Food Science,Q3,"['2423-4214', '2345-5357']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology']"
Civil and Structural Engineering,Q3,['1230-2945'],['Engineering']
Metals and Alloys,Q2,"['1879-1395', '0008-4433']","['Engineering', 'Materials Science']"
Industrial and Manufacturing Engineering,Q3,"['1879-1395', '0008-4433']","['Engineering', 'Materials Science']"
Cultural Studies,Q1,"['1581-1212', '0353-6777']",['Social Sciences']
Sociology and Political Science,Q2,"['1581-1212', '0353-6777']",['Social Sciences']
Demography,Q3,"['1581-1212', '0353-6777']",['Social Sciences']
Ecological Modeling,Q3,"['1644-7298', '2083-5469']","['Agricultural and Biological Sciences', 'Environmental Science', 'Social Sciences']"
Ecology,Q3,"['1644-7298', '2083-5469']","['Agricultural and Biological Sciences', 'Environmental Science', 'Social Sciences']"
"Ecology, Evolution, Behavior and Systematics",Q3,"['1644-7298', '2083-5469']","['Agricultural and Biological Sciences', 'Environmental Science', 'Social Sciences']"
"Geography, Planning and Development",Q3,"['1644-7298', '2083-5469']","['Agricultural and Biological Sciences', 'Environmental Science', 'Social Sciences']"
Cultural Studies,Q1,"['0016-7282', '2300-7362']","['Earth and Planetary Sciences', 'Social Sciences']"
Urban Studies,Q2,"['0016-7282', '2300-7362']","['Earth and Planetary Sciences', 'Social Sciences']"
Earth and Planetary Sciences (miscellaneous),Q3,"['0016-7282', '2300-7362']","['Earth and Planetary Sciences', 'Social Sciences']"
"Geography, Planning and Development",Q3,"['0016-7282', '2300-7362']","['Earth and Planetary Sciences', 'Social Sciences']"
"Geography, Planning and Development",Q3,['1074-4827'],"['Environmental Science', 'Social Sciences']"
"Management, Monitoring, Policy and Law",Q3,['1074-4827'],"['Environmental Science', 'Social Sciences']"
Cardiology and Cardiovascular Medicine,Q3,"['0970-9134', '0973-7723']",['Medicine']
Pulmonary and Respiratory Medicine,Q3,"['0970-9134', '0973-7723']",['Medicine']
Surgery,Q3,"['0970-9134', '0973-7723']",['Medicine']
Automotive Engineering,Q3,"['2229-8649', '2180-1606']",['Engineering']
Mechanical Engineering,Q3,"['2229-8649', '2180-1606']",['Engineering']
Materials Science (miscellaneous),Q3,"['1757-2762', '1757-2754']",['Materials Science']
Advanced and Specialized Nursing,Q3,['1357-6321'],['Nursing']
Computer Science Applications,Q3,['2365-9033'],"['Computer Science', 'Engineering', 'Materials Science', 'Medicine']"
Electrical and Electronic Engineering,Q3,['2365-9033'],"['Computer Science', 'Engineering', 'Materials Science', 'Medicine']"
"Electronic, Optical and Magnetic Materials",Q3,['2365-9033'],"['Computer Science', 'Engineering', 'Materials Science', 'Medicine']"
"Radiology, Nuclear Medicine and Imaging",Q3,['2365-9033'],"['Computer Science', 'Engineering', 'Materials Science', 'Medicine']"
Signal Processing,Q4,['2365-9033'],"['Computer Science', 'Engineering', 'Materials Science', 'Medicine']"
Food Science,Q3,['1127-3496'],['Agricultural and Biological Sciences']
Horticulture,Q3,['1127-3496'],['Agricultural and Biological Sciences']
Plant Science,Q3,['1127-3496'],['Agricultural and Biological Sciences']
Veterinary (miscellaneous),Q2,['1927-520X'],"['Agricultural and Biological Sciences', 'Veterinary']"
Animal Science and Zoology,Q3,['1927-520X'],"['Agricultural and Biological Sciences', 'Veterinary']"
Architecture,Q2,"['1823-6499', '2180-4222']","['Business, Management and Accounting', 'Engineering']"
Building and Construction,Q3,"['1823-6499', '2180-4222']","['Business, Management and Accounting', 'Engineering']"
Civil and Structural Engineering,Q3,"['1823-6499', '2180-4222']","['Business, Management and Accounting', 'Engineering']"
Management of Technology and Innovation,Q3,"['1823-6499', '2180-4222']","['Business, Management and Accounting', 'Engineering']"
Strategy and Management,Q3,"['1823-6499', '2180-4222']","['Business, Management and Accounting', 'Engineering']"
Materials Chemistry,Q3,['2289-7232'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanical Engineering,Q3,['2289-7232'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanics of Materials,Q3,['2289-7232'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Surfaces and Interfaces,Q3,['2289-7232'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
"Surfaces, Coatings and Films",Q3,['2289-7232'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Linguistics and Language,Q2,['1720-9331'],['Social Sciences']
Communication,Q2,['1615-634X'],['Social Sciences']
Linguistics and Language,Q2,['1615-634X'],['Social Sciences']
Sociology and Political Science,Q2,"['1811-0398', '1811-038X']","['Economics, Econometrics and Finance', 'Social Sciences']"
Demography,Q3,"['1811-0398', '1811-038X']","['Economics, Econometrics and Finance', 'Social Sciences']"
Development,Q3,"['1811-0398', '1811-038X']","['Economics, Econometrics and Finance', 'Social Sciences']"
Economics and Econometrics,Q3,"['1811-0398', '1811-038X']","['Economics, Econometrics and Finance', 'Social Sciences']"
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",Q2,"['2322-3049', '2322-5904']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Biomedical Engineering,Q3,"['2322-3049', '2322-5904']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Materials Science (miscellaneous),Q3,"['2322-3049', '2322-5904']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Medicine (miscellaneous),Q3,"['2322-3049', '2322-5904']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Bioengineering,Q4,"['2322-3049', '2322-5904']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Music,Q1,"['1534-150X', '0027-4380']","['Arts and Humanities', 'Social Sciences']"
Library and Information Sciences,Q2,"['1534-150X', '0027-4380']","['Arts and Humanities', 'Social Sciences']"
Anthropology,Q2,['0029-8077'],"['Arts and Humanities', 'Social Sciences']"
History and Philosophy of Science,Q2,['0029-8077'],"['Arts and Humanities', 'Social Sciences']"
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",Q2,"['2383-2886', '1735-403X']","['Health Professions', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmacy,Q2,"['2383-2886', '1735-403X']","['Health Professions', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmaceutical Science,Q3,"['2383-2886', '1735-403X']","['Health Professions', 'Pharmacology, Toxicology and Pharmaceutics']"
Physics and Astronomy (miscellaneous),Q3,"['1934-807X', '1541-308X']",['Physics and Astronomy']
Computer Vision and Pattern Recognition,Q3,"['1531-3263', '1054-7460']","['Computer Science', 'Engineering']"
Control and Systems Engineering,Q3,"['1531-3263', '1054-7460']","['Computer Science', 'Engineering']"
Human-Computer Interaction,Q4,"['1531-3263', '1054-7460']","['Computer Science', 'Engineering']"
Software,Q4,"['1531-3263', '1054-7460']","['Computer Science', 'Engineering']"
Earth and Planetary Sciences (miscellaneous),Q3,"['1133-0953', '1988-8740']","['Earth and Planetary Sciences', 'Social Sciences']"
"Geography, Planning and Development",Q3,"['1133-0953', '1988-8740']","['Earth and Planetary Sciences', 'Social Sciences']"
Applied Mathematics,Q3,"['1938-7989', '1938-7997']",['Mathematics']
Statistics and Probability,Q4,"['1938-7989', '1938-7997']",['Mathematics']
History,Q1,"['2451-3202', '2543-702X']",['Arts and Humanities']
History and Philosophy of Science,Q2,"['2451-3202', '2543-702X']",['Arts and Humanities']
Agricultural and Biological Sciences (miscellaneous),Q2,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Social Sciences (miscellaneous),Q2,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q3,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Chemistry (miscellaneous),Q3,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Computer Science (miscellaneous),Q3,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Earth and Planetary Sciences (miscellaneous),Q3,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Mathematics (miscellaneous),Q3,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Physics and Astronomy (miscellaneous),Q3,['2215-3470'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Physics and Astronomy', 'Social Sciences']"
Computational Mechanics,Q3,"['2311-2255', '1998-8621']","['Engineering', 'Mathematics']"
Mathematics (miscellaneous),Q3,"['2311-2255', '1998-8621']","['Engineering', 'Mathematics']"
Mechanical Engineering,Q3,"['2311-2255', '1998-8621']","['Engineering', 'Mathematics']"
Mechanics of Materials,Q3,"['2311-2255', '1998-8621']","['Engineering', 'Mathematics']"
Communication,Q2,"['1555-1407', '1555-1393']",['Social Sciences']
Education,Q3,"['1555-1407', '1555-1393']",['Social Sciences']
Architecture,Q2,"['1881-8188', '1341-9463']",['Engineering']
Building and Construction,Q3,"['1881-8188', '1341-9463']",['Engineering']
Computer Science Applications,Q3,['2578-1588'],"['Computer Science', 'Engineering']"
Control and Systems Engineering,Q3,['2578-1588'],"['Computer Science', 'Engineering']"
Electrical and Electronic Engineering,Q3,['2578-1588'],"['Computer Science', 'Engineering']"
"Atomic and Molecular Physics, and Optics",Q3,"['0937-9347', '1613-7507']",['Physics and Astronomy']
Biomedical Engineering,Q3,['2665-9069'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Biotechnology,Q3,['2665-9069'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Bioengineering,Q4,['2665-9069'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Chemical Engineering (miscellaneous),Q3,['0104-6632'],['Chemical Engineering']
History,Q1,"['1474-001X', '0007-0874']",['Arts and Humanities']
History and Philosophy of Science,Q2,"['1474-001X', '0007-0874']",['Arts and Humanities']
Obstetrics and Gynecology,Q3,['2214-9112'],['Medicine']
Political Science and International Relations,Q2,"['1539-6754', '2573-1483']",['Social Sciences']
Public Administration,Q3,"['1539-6754', '2573-1483']",['Social Sciences']
Orthopedics and Sports Medicine,Q3,['0344-5925'],"['Health Professions', 'Medicine']"
"Physical Therapy, Sports Therapy and Rehabilitation",Q3,['0344-5925'],"['Health Professions', 'Medicine']"
Sports Science,Q4,['0344-5925'],"['Health Professions', 'Medicine']"
Nature and Landscape Conservation,Q3,"['1543-4079', '1543-4060']",['Environmental Science']
Condensed Matter Physics,Q3,['2272-2394'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q3,['2272-2394'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanics of Materials,Q3,['2272-2394'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Gender Studies,Q2,"['1938-8209', '1938-8322']","['Psychology', 'Social Sciences']"
Sociology and Political Science,Q2,"['1938-8209', '1938-8322']","['Psychology', 'Social Sciences']"
Education,Q3,"['1938-8209', '1938-8322']","['Psychology', 'Social Sciences']"
Developmental and Educational Psychology,Q4,"['1938-8209', '1938-8322']","['Psychology', 'Social Sciences']"
Life-span and Life-course Studies,Q4,"['1938-8209', '1938-8322']","['Psychology', 'Social Sciences']"
Social Psychology,Q4,"['1938-8209', '1938-8322']","['Psychology', 'Social Sciences']"
Agricultural and Biological Sciences (miscellaneous),Q2,"['2770-1743', '2097-051X']",['Agricultural and Biological Sciences']
Agronomy and Crop Science,Q3,"['2770-1743', '2097-051X']",['Agricultural and Biological Sciences']
"Ecology, Evolution, Behavior and Systematics",Q3,"['2770-1743', '2097-051X']",['Agricultural and Biological Sciences']
Plant Science,Q3,"['2770-1743', '2097-051X']",['Agricultural and Biological Sciences']
Architecture,Q2,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Urban Studies,Q2,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Building and Construction,Q3,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Civil and Structural Engineering,Q3,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Environmental Engineering,Q3,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Geotechnical Engineering and Engineering Geology,Q3,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Materials Science (miscellaneous),Q3,"['1687-4048', '2090-9934']","['Earth and Planetary Sciences', 'Engineering', 'Environmental Science', 'Materials Science', 'Social Sciences']"
Sociology and Political Science,Q2,['2227-6068'],['Social Sciences']
Atmospheric Science,Q4,['0324-6329'],['Earth and Planetary Sciences']
Hematology,Q3,"['0971-4502', '0974-0449']",['Medicine']
Business and International Management,Q3,"['2522-9591', '2616-3551']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Finance,Q3,"['2522-9591', '2616-3551']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Management Information Systems,Q3,"['2522-9591', '2616-3551']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Management of Technology and Innovation,Q3,"['2522-9591', '2616-3551']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Marketing,Q3,"['2522-9591', '2616-3551']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Organizational Behavior and Human Resource Management,Q3,"['2522-9591', '2616-3551']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Computer Science (miscellaneous),Q3,"['1555-1237', '1555-1229']","['Computer Science', 'Decision Sciences']"
Information Systems and Management,Q3,"['1555-1237', '1555-1229']","['Computer Science', 'Decision Sciences']"
Computer Science Applications,Q3,['2074-8523'],['Computer Science']
Business and International Management,Q3,"['1476-1297', '1741-8054']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q3,"['1476-1297', '1741-8054']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Law,Q2,['1756-0616'],['Social Sciences']
Political Science and International Relations,Q2,['1756-0616'],['Social Sciences']
Sociology and Political Science,Q2,['1756-0616'],['Social Sciences']
Law,Q2,"['2364-8821', '2364-883X']",['Social Sciences']
Linguistics and Language,Q2,"['2364-8821', '2364-883X']",['Social Sciences']
Applied Mathematics,Q3,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Computational Mathematics,Q3,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Computer Science (miscellaneous),Q3,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Discrete Mathematics and Combinatorics,Q3,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Modeling and Simulation,Q3,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Numerical Analysis,Q3,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Algebra and Number Theory,Q4,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Statistics and Probability,Q4,"['1814-0432', '1814-0424']","['Computer Science', 'Mathematics']"
Decision Sciences (miscellaneous),Q3,"['1757-5850', '1757-5869']","['Decision Sciences', 'Mathematics']"
Modeling and Simulation,Q3,"['1757-5850', '1757-5869']","['Decision Sciences', 'Mathematics']"
History,Q1,"['1471-6380', '0020-7438']","['Arts and Humanities', 'Social Sciences']"
Sociology and Political Science,Q2,"['1471-6380', '0020-7438']","['Arts and Humanities', 'Social Sciences']"
"Geography, Planning and Development",Q3,"['1471-6380', '0020-7438']","['Arts and Humanities', 'Social Sciences']"
History,Q1,"['0021-1753', '1545-6994']","['Arts and Humanities', 'Earth and Planetary Sciences']"
History and Philosophy of Science,Q2,"['0021-1753', '1545-6994']","['Arts and Humanities', 'Earth and Planetary Sciences']"
Earth and Planetary Sciences (miscellaneous),Q3,"['0021-1753', '1545-6994']","['Arts and Humanities', 'Earth and Planetary Sciences']"
Psychiatry and Mental Health,Q3,['1088-4602'],['Medicine']
Linguistics and Language,Q2,"['1613-3811', '0167-6164']",['Social Sciences']
Applied Psychology,Q3,['1906-4675'],['Psychology']
Social Psychology,Q4,['1906-4675'],['Psychology']
Computational Mechanics,Q3,"['2217-379X', '2217-9860']","['Computer Science', 'Engineering']"
Computer Graphics and Computer-Aided Design,Q3,"['2217-379X', '2217-9860']","['Computer Science', 'Engineering']"
Biomedical Engineering,Q3,['2228-7477'],"['Computer Science', 'Engineering', 'Health Professions', 'Medicine']"
Computer Science (miscellaneous),Q3,['2228-7477'],"['Computer Science', 'Engineering', 'Health Professions', 'Medicine']"
Radiological and Ultrasound Technology,Q3,['2228-7477'],"['Computer Science', 'Engineering', 'Health Professions', 'Medicine']"
"Radiology, Nuclear Medicine and Imaging",Q3,['2228-7477'],"['Computer Science', 'Engineering', 'Health Professions', 'Medicine']"
Health Informatics,Q4,['2228-7477'],"['Computer Science', 'Engineering', 'Health Professions', 'Medicine']"
Medicine (miscellaneous),Q3,"['1881-7742', '0301-4800']","['Medicine', 'Nursing']"
Nutrition and Dietetics,Q3,"['1881-7742', '0301-4800']","['Medicine', 'Nursing']"
"Radiology, Nuclear Medicine and Imaging",Q3,"['2147-1959', '2146-1414']",['Medicine']
Animal Science and Zoology,Q3,"['1448-6067', '1323-5818']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
"Ecology, Evolution, Behavior and Systematics",Q3,"['1448-6067', '1323-5818']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
Genetics,Q4,"['1448-6067', '1323-5818']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",Q2,['2667-1425'],"['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Complementary and Alternative Medicine,Q3,['2667-1425'],"['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmacology (medical),Q3,['2667-1425'],"['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
"Business, Management and Accounting (miscellaneous)",Q3,"['2222-1867', '2222-1875']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Economics and Econometrics,Q3,"['2222-1867', '2222-1875']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Finance,Q3,"['2222-1867', '2222-1875']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Public Administration,Q3,"['2222-1867', '2222-1875']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Physiology (medical),Q4,['1679-4435'],['Medicine']
Aquatic Science,Q3,['2318-0331'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science']"
Earth-Surface Processes,Q3,['2318-0331'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science']"
Oceanography,Q3,['2318-0331'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science']"
Water Science and Technology,Q3,['2318-0331'],"['Agricultural and Biological Sciences', 'Earth and Planetary Sciences', 'Environmental Science']"
"Business, Management and Accounting (miscellaneous)",Q3,['0393-5108'],"['Business, Management and Accounting', 'Decision Sciences']"
Management Science and Operations Research,Q4,['0393-5108'],"['Business, Management and Accounting', 'Decision Sciences']"
Arts and Humanities (miscellaneous),Q2,['2532-8816'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Library and Information Sciences,Q2,['2532-8816'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Computer Science Applications,Q3,['2532-8816'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Computer Science (miscellaneous),Q3,['2532-8816'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Cultural Studies,Q1,"['1503-111X', '0800-3831']","['Arts and Humanities', 'Social Sciences']"
History,Q1,"['1503-111X', '0800-3831']","['Arts and Humanities', 'Social Sciences']"
Anthropology,Q2,"['1503-111X', '0800-3831']","['Arts and Humanities', 'Social Sciences']"
Sociology and Political Science,Q2,"['1503-111X', '0800-3831']","['Arts and Humanities', 'Social Sciences']"
Developmental and Educational Psychology,Q4,"['2161-0029', '1524-6817']",['Psychology']
Political Science and International Relations,Q2,['0850-3907'],['Social Sciences']
Sociology and Political Science,Q2,['0850-3907'],['Social Sciences']
Development,Q3,['0850-3907'],['Social Sciences']
"Geography, Planning and Development",Q3,['2223-814X'],"['Business, Management and Accounting', 'Social Sciences']"
"Tourism, Leisure and Hospitality Management",Q4,['2223-814X'],"['Business, Management and Accounting', 'Social Sciences']"
Psychiatry and Mental Health,Q4,"['1573-3262', '0146-3721']",['Medicine']
Arts and Humanities (miscellaneous),Q2,"['1939-8298', '0002-9556']","['Arts and Humanities', 'Psychology']"
Developmental and Educational Psychology,Q4,"['1939-8298', '0002-9556']","['Arts and Humanities', 'Psychology']"
Experimental and Cognitive Psychology,Q4,"['1939-8298', '0002-9556']","['Arts and Humanities', 'Psychology']"
Cardiology and Cardiovascular Medicine,Q3,"['0974-2069', '0974-5149']",['Medicine']
"Pediatrics, Perinatology and Child Health",Q3,"['0974-2069', '0974-5149']",['Medicine']
Visual Arts and Performing Arts,Q1,"['2325-5161', '0004-3125']","['Arts and Humanities', 'Social Sciences']"
Education,Q3,"['2325-5161', '0004-3125']","['Arts and Humanities', 'Social Sciences']"
Cell Biology,Q4,['2768-0622'],"['Biochemistry, Genetics and Molecular Biology']"
Clinical Biochemistry,Q4,['2768-0622'],"['Biochemistry, Genetics and Molecular Biology']"
Genetics,Q4,['2768-0622'],"['Biochemistry, Genetics and Molecular Biology']"
Molecular Medicine,Q4,['2768-0622'],"['Biochemistry, Genetics and Molecular Biology']"
Animal Science and Zoology,Q3,['0011-4545'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
Plant Science,Q3,['0011-4545'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
Cell Biology,Q4,['0011-4545'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
Genetics,Q4,['0011-4545'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology']"
Linguistics and Language,Q2,"['0176-4225', '1569-9714']","['Arts and Humanities', 'Social Sciences']"
Philosophy,Q2,"['0176-4225', '1569-9714']","['Arts and Humanities', 'Social Sciences']"
Medicine (miscellaneous),Q3,['2516-3507'],['Medicine']
Food Science,Q3,"['2378-7007', '2160-3855']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Nursing']"
Medicine (miscellaneous),Q3,"['2378-7007', '2160-3855']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Nursing']"
Nutrition and Dietetics,Q3,"['2378-7007', '2160-3855']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Nursing']"
Biochemistry,Q4,"['2378-7007', '2160-3855']","['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Nursing']"
"Economics, Econometrics and Finance (miscellaneous)",Q3,"['1814-2427', '1816-6326']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Management of Technology and Innovation,Q3,"['1814-2427', '1816-6326']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Marketing,Q3,"['1814-2427', '1816-6326']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
