Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Филологический класс,2071-2405,2658-5235,Russian,Ural State Pedagogical University,False,CC BY,False
Journal of Computer Science and Technology,1666-6046,1666-6038,English,"Postgraduate Office, School of Computer Science, Universidad Nacional de La Plata",False,CC BY-NC,False
Ciencia y Sociedad,0378-7680,2613-8751,Spanish,Instituto Tecnológico de Santo Domingo,False,CC BY-NC-SA,False
Revista Visuais,N/A,2447-1313,Portuguese,Universidade Estadual de Campinas,False,CC BY-NC-ND,False
Journal of Defense Resources Management,2068-9403,N/A,English,Regional Department of Defense Resources Management Studies,False,CC BY-NC-SA,False
Journal of Harbin University of Science and Technology,1007-2683,N/A,Chinese,Harbin University of Science and Technology Publications,False,CC BY,True
Revista Textura,1518-4919,2358-0801,"English, Portuguese, Spanish",Universidade Luterana do Brasil,False,CC BY,False
Sukkur IBA Journal of Computing and Mathematical Sciences,2520-0755,2522-3003,English,Sukkur IBA University,False,CC BY-NC,False
Al-Adyan,1907-1736,N/A,Indonesian,UIN Raden Intan Lampung,False,CC BY-SA,False
Baltic Journal of Modern Computing,2255-8942,2255-8950,English,Univeristy of Latvia,False,CC BY-SA,True
Neurología (English Edition),N/A,2173-5808,English,Elsevier España,False,"CC BY, CC BY-NC-ND",False
Collective Dynamics,N/A,2366-8539,English,Forschungszentrum Jülich,False,CC BY,False
Revista Bases de la Ciencia,N/A,2588-0764,"Portuguese, Spanish",Universidad Técnica de Manabí,False,CC BY-NC-SA,False
Educación y Sociedad,N/A,1811-9034,Spanish,Universidad de Ciego de Ávila Máximo Gómez Báez,False,CC BY-NC,False
Journal of Honai Math,2615-2185,2615-2193,"English, Indonesian",Universitas Papua,False,CC BY-NC-SA,False
Журнал інженерних наук,2312-2498,2414-9381,"English, Russian, Ukrainian",Sumy State University,False,CC BY-NC,False
Astra Salvensis,2393-4727,2344-1887,"English, Romanian","Transylvanian Association for Romanian Literature and Culture of Romanian People (ASTRA), Năsăud Department, Salva Circle",False,CC BY-NC,False
"Analele Universităţii ""Constantin Brâncuşi"" din Târgu Jiu: Seria Inginerie",1842-4856,2537-530X,English,Editura Academica Brâncuşi,False,CC BY,True
Correspondences,N/A,2053-7158,English,Aren Roukema,False,CC BY-NC,False
Romanian Journal of Meteorology,N/A,2284-6220,English,Meteo Romania (National Meteorological Administration),False,CC BY-NC-ND,False
"Modeling, Identification and Control",0332-7353,1890-1328,English,Norwegian Society of Automatic Control,False,CC BY,False
Economia & Região,N/A,2317-627X,Portuguese,Universidade Estadual de Londrina,False,CC BY,False
Dictamen Libre,0124-0099,N/A,Spanish,Universidad Libre,False,CC BY-SA,False
Actualidad Contable Faces,1316-8533,2244-8772,Spanish,Universidad de Los Andes,False,CC BY-NC-SA,False
"Психіатрія, неврологія та медична психологія",2312-5675,2411-166X,Ukrainian,V. N. Karazin Kharkiv National University,False,CC BY,False
Jurnal Natapraja: Kajian Ilmu Administrasi Negara,2406-9515,2528-441X,"English, Indonesian","Public Administration Department, Yogyakarta State University",False,CC BY-NC-SA,False
Revista Letral,N/A,1989-3302,Spanish,Universidad de Granada,False,CC BY-NC,False
Management Intercultural,1454-9980,2285-9292,"French, Romanian",Romanian Foundation for Business Intelligence,False,CC BY-ND,True
Precision Clinical Medicine,2096-5303,2516-1571,English,Oxford University Press,False,"CC BY, CC BY-NC",False
Известия Саратовского университета. Новая серия Серия: Физика,1817-3020,2542-193X,"Russian, English",Saratov State University,False,CC BY,False
Fave: Sección Ciencias Agrarias,1666-7719,2346-9129,Spanish,Universidad Nacional del Litoral,False,CC BY-NC-SA,False
Revista Estudios Hemisféricos y Polares,N/A,0718-9230,"English, Spanish",Centro de Estudios Hemisféricos y Polares,False,CC BY-NC-SA,False
The Journal of Qazvin University of Medical Sciences,1561-3666,2228-7213,Persian,Qazvin University of Medical Sciences & Health Services,False,CC BY-NC,False
AgroLife Scientific Journal,2285-5718,2286-0126,English,University of Agronomic Sciences and Veterinary Medicine of Bucharest,False,CC BY,False
Journal of Operation and Automation in Power Engineering,2322-4576,N/A,English,University of Mohaghegh Ardabili,False,CC BY,False
Hart,2539-2263,2590-9126,"English, Portuguese, Spanish",Universidad de Los Andes,False,CC BY-NC-ND,False
Trudy Odesskogo Politehničeskogo Universiteta,2076-2429,2223-3814,"English, Russian, Ukrainian",Odessa National Polytechnic University,True,CC BY,True
Duazary,1794-5992,2389-783X,Spanish,Universidad del Magdalena,False,CC BY-NC-SA,False
"AMJAU, African and Mediterranean Journal of Architecture and Urbanism",N/A,2665-7953,"Arabic, English, French",Pr. Khalid EL HARROUNI,False,CC BY-NC-ND,False
Circe de Clásicos y Modernos,1514-3333,1851-1724,Spanish,Universidad Nacional de La Pampa,False,CC BY-NC-SA,False
Professional Health Journal,N/A,2715-6249,Indonesian,PPPM STIKES Banyuwangi,False,CC BY-SA,False
Pharmaceutical Sciences and Research,2407-2354,2477-0612,English,Universitas Indonesia,False,CC BY-NC,True
Physical Treatments,N/A,2423-5830,English,Negah Institute for Scientific Communication,False,CC BY-NC,False
Passer Journal,2706-5944,2706-5952,English,University of Garmian,False,CC BY-NC,True
Music Theory Online,N/A,1067-3040,English,Society for Music Theory,False,Publisher's own license,False
"Zbornik radova Departmana za geografiju, turizam i hotelijerstvo",1452-0133,2334-7074,"English, Serbian","University of Novi Sad, Faculty of Sciences, Department of Geography, Tourism and Hotel Management, Novi Sad",False,CC BY,False
Al-TA'DIB: Jurnal Kajian Ilmu Kependidikan,1979-4908,2598-3873,"English, Indonesian",Fakultas Tarbiyah dan Ilmu Keguruan Institut Agama Islam Negeri Kendari,False,CC BY-NC-SA,False
Competência,1984-2880,2177-4986,"Portuguese, Spanish",Serviço Nacional de Aprendizagem Comercial (Senac),False,CC BY-NC-ND,False
MIBES Transactions,N/A,1790-9899,English,University of Thessaly,False,CC BY-NC-ND,True
Acta Pediátrica de México,0186-2391,2395-8235,Spanish,Instituto Nacional de Pediatría,False,CC BY,False
Media&Jornalismo,1645-5681,2183-5462,"English, Portuguese, Spanish",Coimbra University Press,False,CC BY,False
International Journal of Advances in Signal and Image Sciences,N/A,2457-0370,English,XLESCIENCE,False,CC BY,False
AMAR (Andalas Management Review),2476-9282,2548-155X,English,"The Management Institute, Faculty of Economics, Universitas Andalas",False,CC BY-NC-SA,True
کتابداری و اطلاع‌رسانی,1680-9637,2676-5977,Persian,Central Library of Astan Quds Razavi,False,CC BY-NC,False
Revista MERCOSUR de Políticas Sociales,2523-0891,2663-2047,"Portuguese, Spanish",Instituto Social del MERCOSUR,False,CC BY,False
Revista Ciência Plural,N/A,2446-7286,Portuguese,Universidade Federal do Rio Grande do Norte,False,CC BY-NC-SA,False
Glasnik Advokatske komore Vojvodine,0017-0933,2683-5967,"English, Serbian","Bar Association of Vojvodina, Novi Sad",False,CC BY-SA,False
JPP (Jurnal Politik Profetik),2337-4756,2549-1784,Indonesian,Department of Political Science Ushuluddin Faculty and Philosophy Alauddin State Islamic University of Makassar,False,CC BY-NC-SA,False
Intropica,1794-161X,2389-7864,"English, Spanish",Universidad del Magdalena,False,CC BY-NC-SA,False
"Law, Society & Organisations",N/A,2537-477X,"English, French, Romanian",Fundația Română pentru Inteligența Afacerii,False,CC BY,True
Stellenbosch Papers in Linguistics,1027-3417,2223-9936,"Afrikaans, English",Stellenbosch University,False,CC BY,True
Journal of Learning Development in Higher Education,N/A,1759-667X,English,Association for Learning Development in Higher Education (ALDinHE),False,CC BY,False
K@iros,N/A,2492-1599,French,Université Clermont Auvergne,False,CC BY,False
Revista Científica UISRAEL,1390-8545,2631-2786,"English, Spanish",Universidad Tecnologica Israel,False,CC BY,False
Review of Economics and Development Studies,2519-9692,2519-9706,English,SPCRD Global Publishing,False,CC BY-NC,False
De Europa,N/A,2611-853X,"English, French, Italian, Spanish",Università degli Studi di Torino,False,CC BY-NC-ND,False
Avaliação Psicológica,1677-0471,2175-3431,Portuguese,Instituto Brasileiro de Avaliação Psicológica (IBAP),False,CC BY-NC,True
Horizontes Pedagógicos,0123-8264,2500-705X,Spanish,IberAm,False,CC BY-NC-SA,False
Plants and Environment,N/A,2582-3744,English,Plant and Environmental Research Institute (PERI),False,CC BY-NC-SA,False
Diametros,N/A,1733-5566,"English, Polish",Institute of Philosophy of the Jagiellonian University,False,CC BY-NC,False
Orillas. Rivista d'Ispanistica,N/A,2280-4390,"English, Italian, Spanish",Padova University Press,False,CC BY-NC-ND,False
inTRAlinea: Online Translation Journal,N/A,1827-000X,"English, French, German, Italian, Polish, Spanish",University of Bologna,False,CC BY-NC-ND,False
Rivista Internazionale di Filosofia e Psicologia,2039-4667,2239-2629,"English, German, Italian","Mimesis Edizioni, Milano",True,CC BY,False
Summa,N/A,2711-0788,Spanish,Corporación Universitaria Autónoma de Nariño,False,CC BY-NC-ND,False
Estudos do Século XX,1645-3530,1647-8622,Portuguese,Coimbra University Press,False,CC BY,False
Jurnal Dakwah dan Komunikasi,2548-3293,2548-3366,Indonesian,Institut Agama Islam Negeri (IAIN) Curup,False,CC BY-NC-SA,False
Evidencia. Actualización en la Práctica Ambulatoria,1667-5703,1851-9776,Spanish,Fundacion MF,False,CC BY-NC-SA,False
Arta Medica,1810-1852,1810-1879,"English, Romanian, Russian",Association of Surgeons of the Republic of Moldova,False,CC BY-SA,True
Hoplos,N/A,2595-699X,Portuguese,Universidade Federal Fluminense (UFF),False,CC BY-NC-SA,False
Étic@net,N/A,1695-324X,Spanish,Editorial Universidad de Granada,False,CC BY,False
Старожитності Лукоморʼя,N/A,2708-4116,"English, Ukrainian",Scientific Research Centre «Lukomorie»,False,CC BY,False
Revista Colombiana de Ciencias Administrativas,N/A,2711-0931,Spanish,Fundación Universitaria San Mateo,False,CC BY-NC-ND,False
JAMK Journal of Health and Social Studies,N/A,2490-029X,"English, Finnish",JAMK University of Applied Sciences,False,CC BY-NC-ND,False
Critical Times,N/A,2641-0478,"English, Spanish",Duke University Press,False,CC BY-NC-ND,False
Anuario de Investigación en Literatura Infantil y Juvenil,1578-6072,2660-7395,Spanish,University of Vigo,False,CC BY-NC-ND,False
مسائل کاربردی تعلیم و تربیت اسلامی,2588-3151,2588-4077,Persian,a publication of the academy of scientific studies in education,False,CC BY-NC,False
E3S Web of Conferences,N/A,2267-1242,"English, French",EDP Sciences,True,CC BY,False
ITM Web of Conferences,N/A,2271-2097,English,EDP Sciences,True,CC BY,False
BIO Web of Conferences,N/A,2117-4458,"French, English",EDP Sciences,True,CC BY,False
Sociobiology,0361-6525,2447-8067,English,Universidade Estadual de Feira de Santana,False,CC BY,False
International Journal of Nuclear Security,N/A,2376-9955,English,Institute for Nuclear Security,False,CC BY,True
Journal of Aviation/Aerospace Education & Research,1065-1136,2329-258X,English,Embry-Riddle Aeronautical University,False,CC BY-NC-ND,False
Journal of Water and Environmental Nanotechnology,2476-7204,2476-6615,English,Iranian Environmental Mutagen Society,False,CC BY,False
Pizhūhish/hā-yi Irtibāṭī,2538-2977,2538-2985,Persian,Research and Polling Center of Islamic Republic of Iran Broadcasting,False,CC BY,True
Commentaria Classica,N/A,2283-5652,"Italian, French, English",Vincenzo Ortoleva,False,CC BY-NC-ND,False
Malaysian Journal of Geosciences,2521-0920,2521-0602,English,Zibeline International,False,CC BY,False
International Journal of Operations Research,1813-713X,1813-7148,English,Operations research society of Taiwan,False,CC BY,False
Acta Informatica Malaysia,2521-0874,2521-0505,English,Zibeline International,False,CC BY,False
Rey Desnudo: Revista de Libros,N/A,2314-1204,Spanish,Rey Desnudo,False,CC BY-SA,False
Regional Journal of Information and Knowledge Management,N/A,2412-6535,English,Regional Institute of Information and Knowledge Management,False,CC BY-NC,False
Structural Dynamics,N/A,2329-7778,English,AIP Publishing LLC and ACA,True,CC BY,True
Dermatology Online Journal,N/A,1087-2108,English,"eScholarship Publishing, University of California",False,CC BY-NC-ND,True
Sotavento MBA,0123-3734,2346-2175,Spanish,Universidad Externado de Colombia,False,CC BY-NC-SA,False
Revista Direitos Sociais e Políticas Públicas,N/A,2318-5732,"English, Portuguese, Spanish",Centro Universitário Unifafibe,False,Publisher's own license,False
International Journal of Evidence Based Coaching and Mentoring,N/A,1741-8305,English,Oxford Brookes University,False,CC BY-NC-ND,False
پژوهش‌های بذر ایران,2383-1251,2383-1480,Persian,Yasouj University,False,CC BY,False
Kelaniya Journal of Management,2279-1469,2448-9298,English,"Faculty of Commerce & Manangement Studies, University of Kelaniya",False,CC BY,False
Jurnal Analisis Bisnis Ekonomi,1693-5950,2579-647X,Indonesian,Universitas Muhammadiyah Magelang,False,CC BY-NC,False
Journal of Terrorism Research,N/A,2049-7040,English,University of St Andrews,False,CC BY,False
Savād-i Salāmat,N/A,2476-4728,English,Mashhad University of Medical Sciences,False,CC BY-NC,False
Integers,N/A,1553-1732,English,Integers,False,CC BY,False
IAFOR Journal of Language Learning,N/A,2188-9554,English,The International Academic Forum,False,Publisher's own license,False
Épijournal de Géométrie Algébrique,N/A,2491-6765,"English, French",Association Epiga,False,CC BY-SA,False
GeoGebra,2068-3227,2247-7241,English,"Zigotto Printing & Publishing House, Galati",False,CC BY,False
"Espacio, Tiempo y Forma. Serie III, Historia Medieval",0214-9745,2340-1362,"English, French, Spanish",Universidad Nacional de Educación a Distancia (UNED),False,CC BY-NC,False
پژوهشنامه روانشناسی مثبت,2476-4248,2476-3705,Persian,University of Isfahan,False,CC BY-NC-ND,True
International Journal of Engineering Materials and Manufacture,N/A,0128-1852,English,Deer Hill Publications,False,CC BY,True
RIVAR,N/A,0719-4994,Spanish,Universidad de Santiago de Chile,False,CC BY-SA,False
Radovi Zavoda za znanstvenoistraživački i umjetnički rad u Bjelovaru,1846-9787,1848-7912,Croatian,Hrvatska akademija znanosti i umjetnosti,False,CC BY-NC,False
Ethic@: an International Journal for Moral Philosophy,N/A,1677-2954,"Spanish, Portuguese, English",Universidade Federal de Santa Catarina,False,CC BY-NC-ND,False
Przeszłość Demograficzna Polski,0079-7189,N/A,"English, German, Polish",Wydawnictwo Naukowe Uniwersytetu Szczecińskiego,False,CC BY-SA,False
EAI Endorsed Transactions on Mobile Communications and Applications,N/A,2032-9504,English,European Alliance for Innovation (EAI),False,CC BY,False
World of Media,2307-1605,2686-8016,English,Lomonosov Moscow State University. Faculty of Journalism,False,CC BY-NC-ND,False
Jurnal Kumparan Fisika,N/A,2655-1403,Indonesian,"Prodi Pendidikan Fisika and Unib Press, Universitas Bengkulu",False,CC BY-SA,True
English Franca: Academic Journal of English Language and Education,2580-3670,2580-3689,English,Institut Agama Islam Negeri (IAIN) Curup,False,CC BY-NC-SA,False
Trabalho Necessário,N/A,1808-799X,"English, French, Spanish, Portuguese",Universidade Federal Fluminense,False,CC BY,False
Midwifery Journal,2503-4340,2614-3364,Indonesian,UNIVERSITAS MUHAMMADIYAH MATARAM,False,CC BY-SA,True
"Вісник Харківського національного університету імені В. Н. Каразіна: Серія ""Питання політології""",2220-8089,2523-4005,"English, Russian, Ukrainian",V. N. Karazin Kharkiv National University,False,CC BY,False
Modulema,N/A,2530-934X,"French, Portuguese, English, Spanish",Universidad de Granada,False,CC BY-NC-SA,False
Jurnal Ilmu dan Teknologi Hasil Ternak,1978-0303,2338-1620,Indonesian,University of Brawijaya,False,CC BY,False
Iranian Journal of Pathology,1735-5303,2345-3656,English,Iranian Society of Pathology,False,CC BY,True
Caminho Aberto: Revista de Extensão do IFSC,2359-0580,2359-0599,Portuguese,Instituto Federal de Santa Catarina,False,CC BY-NC-ND,False
Estudios del ISHiR,N/A,2250-4397,Spanish,Consejo de Investigaciones Científicas y Técnicas Investigaciones Socio-Históricas Regionales,False,CC BY-NC-ND,False
Revista Derecho y Salud,2591-3468,2591-3476,"Portuguese, English, Spanish",Universidad Blas Pascal,False,CC BY-NC-SA,False
Revista de Economía y Estadística,0034-8066,2451-7321,"Spanish, English, Portuguese",Universidad Nacional de Córdoba,False,CC BY-NC-ND,False
El Cardo,1514-7347,1851-1562,"Spanish, English",Universidad Nacional de Entre Ríos,False,CC BY-NC-SA,False
Ingenio Tecnológico,N/A,2618-4931,"Portuguese, Spanish","Universidad Tecnológica Nacional, Facultad Regional La Plata",False,CC BY-NC-SA,False
Intersecciones en Antropología,1666-2105,1850-373X,"Spanish, English",Universidad Nacional del Centro de la Provincia de Buenos Aires,False,CC BY-NC-SA,False
Characteristica Universalis Journal,N/A,2313-9501,"English, German, Spanish, Italian, French",Centro de Filosofía Clásica Alemana,False,CC BY-NC-SA,False
Acta Fakulty filozofické Západočeské univerzity v Plzni,1802-0364,2336-6346,"Czech, English, Slovak","University of West Bohemia, Pilsen",False,CC BY-NC-ND,False
Vědecké Práce Ovocnářské,N/A,2695-1347,"English, Czech",VÝZKUMNÝ A ŠLECHTITELSKÝ ÚSTAV OVOCNÁŘSKÝ HOLOVOUSY s.r.o.,False,CC BY-NC-ND,True
International Review of Applied Sciences and Engineering,2062-0810,2063-4269,English,Akadémiai Kiadó,False,"CC BY, CC BY-NC",True
Hungarian Educational Research Journal,N/A,2064-2199,English,Akadémiai Kiadó,False,"CC BY, CC BY-NC",False
Revista Cuestiones Económicas,2477-9059,2697-3367,Spanish,Banco Central del Ecuador,False,CC BY-NC,False
Revista Facultad de Jurisprudencia,N/A,2588-0837,Spanish,Pontificia Universidad Católica del Ecuador,False,CC BY-SA,False
Revista de Matemática: Teoría y Aplicaciones,N/A,2215-3373,"English, Spanish",Universidad de Costa Rica,False,CC BY-NC-SA,False
Filozofia Nauki,1230-6894,2657-5868,"English, Polish",Wydawnictwo Uniwersytetu Warszawskiego,False,CC BY-NC-ND,False
Shuichan Xuebao,1000-0615,N/A,Chinese,Editorial Office of Journal of Fisheries of China,False,CC BY-NC-ND,True
internetowy Kwartalnik Antymonopolowy i Regulacyjny,2299-8837,2299-5749,"English, Polish",University of Warsaw,False,CC BY,False
Vox Patrum,0860-9411,2719-3586,"French, Spanish, Italian, Polish, English",The John Paul II Catholic University of Lublin,False,CC BY-ND,False
"Місто: історія, культура, суспільство",N/A,2616-4280,"English, Ukrainian","Institute of History of Ukraine, National Academy of Sciences of Ukraine",False,CC BY-SA,False
Sketsa Bisnis,2356-3672,2460-0989,"English, Indonesian",Universitas Yudharta Pasuruan,False,CC BY-SA,True
Mediterranean Nursing and Midwifery,N/A,2791-7940,English,Galenos Publishing House,False,CC BY-NC,False
Roczniki Biblioteczne,0080-3626,2720-1023,"English, Polish",Wydawnictwo Uniwersytetu Wrocławskiego,False,CC BY,False
International Journal of Applied Mechanics and Engineering,1734-4492,2353-9003,English,University of Zielona Góra,False,CC BY-NC-ND,True
Open Health,N/A,2544-9826,English,De Gruyter,False,CC BY,False
"Edukacja, Kultura, Społeczeństwo",N/A,2956-4654,"English, Polish",University of Wrocław,False,CC BY-ND,False
Revista Información Científica,N/A,1028-9933,Spanish,Universidad de Ciencias Médicas de Guantánamo,False,CC BY,False
Вісник Харківського національного університету імені В. Н. Каразіна. Серія Філологія.  Vìsnik Harkìvsʹkogo nacìonalʹnogo unìversitetu ìmenì V.N. Karazìna. Serìâ Fìlologìâ.,2227-1864,N/A,"English, Ukrainian",V. N. Karazin Kharkiv National University,False,CC BY,False
Dileme,2591-1201,N/A,"Serbian, Croatian, English, Slovenian",Študijski center za narodno spravo,False,CC BY-NC-ND,False
Kasmera,0075-5222,2477-9628,"English, Spanish","Universidad del Zulia,Facultad de Medicina,Departamento de Enfermedades Infecciosas y Tropicales",False,CC BY-NC-SA,False
Diagnostic and Interventional Endoscopy,N/A,2822-3772,English,AVES,False,CC BY-NC,False
Bulletin of the Mineral Research and Exploration,0026-4563,N/A,English,General Directorate of Mineral Research and Exploration,False,CC BY-NC-ND,False
Tiedao biaozhun sheji,1004-2954,N/A,Chinese,Editorial Office of Railway Standard Design,False,CC BY-NC-ND,True
Вісник Харківського національного університету імені В.Н. Каразіна. Історія,2220-7929,N/A,"Ukrainian, English",V. N. Karazin Kharkiv National University,False,CC BY,False
PRISM,N/A,2514-5347,English,Liverpool John Moores University,False,CC BY-NC-ND,False
Journal of Computing Research and Innovation,N/A,2600-8793,English,"Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Perlis",False,CC BY-SA,False
Ephemera: Theory and Politics in Organization,2052-1499,1473-2866,English,Ephemera Editorial Collective,False,CC BY-NC-ND,False
Вісник Київського національного університету імені Тараса Шевченка. Серія Фізико-математичні науки,1812-5409,2218-2055,"Ukrainian, English",Kyiv University Publishing,False,CC BY,True
Геология и геофизика Юга России,2221-3198,2686-7486,"Russian, English","Vladikavkaz Scientific Centre of the Russian Academy of Sciences, Geophysical Institute",False,CC BY,False
Sağlık Bilimleri Üniversitesi Hemşirelik Dergisi,N/A,2667-8357,"English, Turkish",University of Health Sciences,False,CC BY-NC,False
"Dil, Konuşma ve Yutma Araştırmaları Dergisi",N/A,2651-2548,"English, Turkish",Turkish Association of Speech and Language Therapists (DKTD),False,CC BY-NC-ND,False
پژوهش‌های تفسیر تطبیقی,2476-4191,2476-4205,Persian,University of Qom,False,CC BY-NC,True
Journal of Extension,N/A,1077-5315,English,Clemson University Press,False,CC BY-NC-SA,False
Ecclesial Futures,2770-6656,2770-6664,English,Radboud University Press,False,CC BY,False
International Journal of Pharmacy & Integrated Health Sciences,2958-1656,2789-2840,English,"Superior University Lahore, Pakistan",False,CC BY-NC-ND,False
Kvalita Inovácia Prosperita,1335-1745,1338-984X,English,Technical University of Kosice,False,CC BY,True
Studia Humanistyczne AGH,2084-3364,2300-7109,"English, Polish",Wydawnictwa AGH,False,CC BY,False
Ege Eğitim Dergisi,N/A,1307-4474,"English, Turkish",Ege University,False,CC BY-NC-ND,False
Rize İlahiyat Dergisi,N/A,2980-0331,"English, Turkish, Arabic",Recep Tayyip Erdoğan Üniversitesi,False,CC BY-NC,False
Islamic Communication Journal,2541-5182,2615-3580,"English, Indonesian",Program Studi Komunikasi dan Penyiaran Islam Fakultas Dakwah dan Komunikasi Universitas Islam Negeri Walisongo Semarang,False,CC BY-NC-SA,False
Copernican Journal of Finance & Accounting,2300-1240,2300-3065,English,Nicolaus Copernicus University in Toruń,False,CC BY-ND,False
Electronic Journal of Structural Engineering,N/A,1443-9255,English,Electronic Journals for Science and Engineering - International,False,CC BY,True
Nordic Journal of Criminology,2578-983X,2578-9821,English,Scandinavian University Press (Universitetsforlaget),False,CC BY,False
Al-Manhaj,2686-1607,2686-4819,"Arabic, English, Indonesian",INSURI Ponorogo,False,CC BY,True
أنساق,2520-713X,2520-7148,"Arabic, English, French",Qatar University Press,False,CC BY-NC,False
Open Veterinary Journal,2226-4485,2218-6050,English,Tripoli University,False,CC BY-NC,True
Nursing and Midwifery Studies,2322-1488,2322-1674,English,Kashan University of Medical Sciences,False,CC BY-NC,True
The Annals of African Surgery,1999-9674,2523-0816,English,Surgical Society of Kenya,False,CC BY,True
Ideas,N/A,2451-6910,"Portuguese, Spanish",RAGIF Ediciones,False,CC BY-NC-SA,False
Journal of the Bulgarian Orthopaedics and Trauma Association,0473-4378,2815-3715,English,Bulgarian Orthopaedics and Trauma Association,False,CC BY,False
Access,N/A,2683-1007,English,ACCESS Press Publishing house,False,CC BY,True
Dyna,0012-7353,2346-2183,"Spanish, English",Universidad Nacional de Colombia,False,CC BY-NC-ND,False
Revista Enfoques Educacionales,0717-3229,2735-7279,"Spanish, English, Portuguese",Universidad de Chile,False,CC BY-NC-ND,False
Punto Sur,N/A,2683-7404,"Spanish, Portuguese","Facultad de Filosofía y Letras, Universidad de Buenos Aires",False,CC BY,False
Revista Colombiana de Ciencias Pecuarias,0120-0690,2256-2958,English,Universidad de Antioquia,False,CC BY-NC-SA,True
Estudios Políticos,0121-5167,2462-8433,"Spanish, Portuguese",Universidad de Antioquia,False,CC BY-NC-SA,False
Journal of Applied Life Sciences and Environment,2784-0379,2784-0360,English,Iasi University of Life Sciences,False,CC BY,False
International Journal of Young Adult Literature,N/A,2634-5277,English,Fincham Press,False,CC BY,False
Kontakt,1212-4117,1804-7122,"Czech, English","University of South Bohemia in České Budějovice, Faculty of Health and Social Sciences",False,CC BY-NC-ND,True
Journal of Applied Biomedicine,1214-021X,1214-0287,English,"University of South Bohemia in Ceske Budejovice, Faculty of Health and Social Sciences",False,CC BY-NC-ND,True
Revista Interamericana de Bibliotecología,0120-0976,2538-9866,"English, Portuguese, Spanish",Universidad de Antioquía,False,CC BY-NC-SA,False
Uni-pluriversidad,N/A,2665-2730,"Portuguese, Spanish",Universidad de Antioquia,False,CC BY-NC-ND,False
Agric,0854-9028,2549-9343,Indonesian,Universitas Kristen Satya Wacana,False,CC BY,False
Teaching and Learning Excellence through Scholarship,N/A,2766-8991,English,Community College of Baltimore County,False,CC BY-NC,False
Educare Et Comunicare,N/A,2312-9018,Spanish,Universidad Católica Santo Toribio de Mogrovejo,False,CC BY-NC-SA,False
Kongjian kexue xuebao,0254-6124,N/A,"English, Chinese",Science Press,False,CC BY,True
Palabra y Razón,N/A,2452-4646,"French, Italian, Portuguese, English, Spanish",Universidad Católica del Maule,False,CC BY-NC-SA,False
Mix Sustentável,2447-0899,2447-3073,"English, Portuguese",Universidade Federal de Santa Catarina (UFSC),False,CC BY,False
Annals of Business Administrative Science,1347-4464,1347-4456,English,Global Business Research Center,False,CC BY,True
Verimlilik Dergisi,1013-1388,2757-6973,"English, Turkish",Sanayi ve Teknoloji Bakanlığı,False,CC BY-NC,False
Journal of Nobel Medical College,2091-2331,2091-234X,English,Nobel Medical College Teaching Hospital,False,CC BY,False
African Journal of Inter-Multidisciplinary Studies,2663-4597,2663-4589,English,Research and Postgraduate Support Directorate,False,CC BY-SA,True
Revista Venezolana de Investigación en Educación Matemática,N/A,2739-039X,"English, Spanish, Portuguese",Asociación Aprender en Red,False,CC BY,False
Market Forces,1816-8434,2309-866X,English,Karachi Institute of Economics and Technology,False,CC BY,False
Anales (Asociación Física Argentina),0327-358X,1850-1168,Spanish,CEILAP-UNIDEF-CONICET-CITEDEF,False,CC BY-NC,True
International Journal of Advanced Design and Manufacturing Technology,2252-0406,2383-4447,English,Islamic Azad University-Isfahan (Khorasgan) Branch,False,CC BY,False
Societas et Iurisprudentia,N/A,1339-5467,"English, Slovak, Czech","Trnava University, Faculty of Law",False,CC BY-NC-ND,False
Fiyz̤,1029-7855,2008-9821,Persian,Kashan University of Medical Sciences and Health Services,False,CC BY-NC,False
Journal of Advanced Mechanical Sciences,N/A,2583-3790,English,Journal of advanced mechanical sciences,False,CC BY,False
Food Agricultural Sciences and Technology (FAST),2822-1001,2822-101X,English,Mahasarakham University,False,CC BY-ND,False
Science Technology and Engineering Journal (STEJ),2697-6110,2697-6072,English,Mahasarakham University,False,CC BY-ND,False
Memoirs of the European Mathematical Society,2747-9080,N/A,"French, English",EMS Press,False,CC BY,False
Online Journal of Music Sciences,N/A,2536-4421,"English, Turkish",Nilgün Sazak,False,CC BY-NC-ND,False
Hadith,N/A,2667-5455,"Arabic, English, Turkish",Veysel ÖZDEMİR,False,CC BY-NC,False
Afrika und Übersee,0002-0427,2749-0971,"English, German, French",Hamburg University Press,False,CC BY,False
Revista Investigaciones y Estudios de la UNA,2070-0415,2709-0817,"English, Portuguese, Spanish",Universidad Nacional de Asunción,False,CC BY,False
Zeitschrift für Medizinische Physik,0939-3889,1876-4436,English,Elsevier,False,"CC BY, CC BY-NC-ND",True
Jurnal Soeropati,2620-8113,2621-0762,"English, Indonesian",Universitas Yudharta Pasuruan,True,CC BY-SA,True
Psychocentrum Review,2656-1069,2656-8454,"English, Indonesian",Universitas Indraprasta PGRI,False,CC BY-NC,True
